Task Id,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1-score
HumanEval/0,1.0,0.8,0.888888888888889
HumanEval/1,0.19318181818181818,0.53125,0.2833333333333334
HumanEval/2,1.0,1.0,1.0
HumanEval/3,0.8333333333333334,1.0,0.9090909090909091
HumanEval/4,0.64,1.0,0.7804878048780487
HumanEval/5,0.35714285714285715,0.23809523809523808,0.2857142857142857
HumanEval/6,0.1875,0.13636363636363635,0.15789473684210525
HumanEval/7,0.5,0.5555555555555556,0.5263157894736842
HumanEval/8,0.3333333333333333,0.6,0.42857142857142855
HumanEval/9,0.20833333333333334,0.45454545454545453,0.28571428571428575
HumanEval/10,0.22972972972972974,0.7391304347826086,0.35051546391752575
HumanEval/11,0.24324324324324326,0.6,0.34615384615384615
HumanEval/12,0.5416666666666666,0.5652173913043478,0.5531914893617021
HumanEval/13,0.7272727272727273,0.3333333333333333,0.4571428571428572
HumanEval/14,0.375,0.6,0.4615384615384615
HumanEval/15,0.6,0.8571428571428571,0.7058823529411764
HumanEval/16,0.044444444444444446,0.4,0.07999999999999999
HumanEval/17,0.23636363636363636,0.40625,0.2988505747126437
HumanEval/18,0.22727272727272727,0.29411764705882354,0.25641025641025644
HumanEval/19,0.15151515151515152,0.1388888888888889,0.14492753623188404
HumanEval/20,0.3508771929824561,0.5714285714285714,0.43478260869565216
HumanEval/21,0.20588235294117646,0.3684210526315789,0.2641509433962264
HumanEval/22,0.7142857142857143,0.5555555555555556,0.6250000000000001
HumanEval/23,1.0,1.0,1.0
HumanEval/24,0.8666666666666667,0.8666666666666667,0.8666666666666667
HumanEval/25,0.40384615384615385,0.65625,0.5000000000000001
HumanEval/26,0.6666666666666666,0.3125,0.425531914893617
HumanEval/27,0.6666666666666666,0.25,0.36363636363636365
HumanEval/28,1.0,1.0,1.0
HumanEval/29,0.3,0.3333333333333333,0.3157894736842105
HumanEval/30,0.2222222222222222,0.25,0.23529411764705882
HumanEval/31,0.4634146341463415,0.5588235294117647,0.5066666666666667
HumanEval/32,0.12,0.11764705882352941,0.1188118811881188
HumanEval/33,0.3584905660377358,0.59375,0.4470588235294118
HumanEval/34,1.0,1.0,1.0
HumanEval/35,1.0,1.0,1.0
HumanEval/36,0.40625,0.48148148148148145,0.4406779661016949
HumanEval/37,0.42105263157894735,0.5,0.45714285714285713
HumanEval/38,0.6666666666666666,0.8888888888888888,0.761904761904762
HumanEval/39,0.4215686274509804,0.36134453781512604,0.3891402714932127
HumanEval/40,0.38,0.48717948717948717,0.4269662921348315
HumanEval/41,0.007633587786259542,0.3333333333333333,0.014925373134328356
HumanEval/42,0.7142857142857143,0.7142857142857143,0.7142857142857143
HumanEval/43,0.47058823529411764,0.32,0.38095238095238104
HumanEval/44,0.38235294117647056,0.7222222222222222,0.4999999999999999
HumanEval/45,1.0,1.0,1.0
HumanEval/46,0.3333333333333333,0.32653061224489793,0.32989690721649484
HumanEval/47,0.4375,0.4827586206896552,0.4590163934426229
HumanEval/48,0.23529411764705882,1.0,0.38095238095238093
HumanEval/49,0.3870967741935484,0.5,0.43636363636363634
HumanEval/50,1.0,0.875,0.9333333333333333
HumanEval/51,0.26666666666666666,0.36363636363636365,0.30769230769230765
HumanEval/52,0.75,0.75,0.75
HumanEval/53,1.0,1.0,1.0
HumanEval/54,0.2,1.0,0.33333333333333337
HumanEval/55,0.5384615384615384,0.25925925925925924,0.35000000000000003
HumanEval/56,0.34782608695652173,0.36363636363636365,0.3555555555555555
HumanEval/57,0.4444444444444444,0.6451612903225806,0.5263157894736842
HumanEval/58,1.0,0.875,0.9333333333333333
HumanEval/59,0.6818181818181818,0.35714285714285715,0.46875000000000006
HumanEval/60,0.5,0.6,0.5454545454545454
HumanEval/61,0.26666666666666666,0.36363636363636365,0.30769230769230765
HumanEval/62,0.3333333333333333,0.8181818181818182,0.4736842105263157
HumanEval/63,0.18181818181818182,0.34285714285714286,0.23762376237623764
HumanEval/64,0.27586206896551724,0.34782608695652173,0.3076923076923077
HumanEval/65,0.38461538461538464,0.35714285714285715,0.3703703703703704
HumanEval/66,0.5833333333333334,0.6363636363636364,0.6086956521739131
HumanEval/67,0.0851063829787234,0.17391304347826086,0.11428571428571427
HumanEval/68,0.36363636363636365,0.34285714285714286,0.3529411764705882
HumanEval/69,0.22972972972972974,0.5,0.3148148148148148
HumanEval/70,0.12612612612612611,0.358974358974359,0.18666666666666665
HumanEval/71,0.15671641791044777,0.6774193548387096,0.2545454545454546
HumanEval/72,0.08536585365853659,0.875,0.15555555555555559
HumanEval/73,0.18181818181818182,0.34782608695652173,0.2388059701492537
HumanEval/74,0.3939393939393939,0.5652173913043478,0.4642857142857143
HumanEval/75,0.21951219512195122,0.32142857142857145,0.2608695652173913
HumanEval/76,0.5909090909090909,0.3170731707317073,0.41269841269841273
HumanEval/77,0.2222222222222222,0.36363636363636365,0.27586206896551724
HumanEval/78,0.0297029702970297,0.3,0.05405405405405406
HumanEval/79,0.4,0.6666666666666666,0.5
HumanEval/80,0.8846153846153846,0.6388888888888888,0.7419354838709676
HumanEval/81,0.6027397260273972,0.4943820224719101,0.5432098765432098
HumanEval/82,0.25925925925925924,0.5,0.3414634146341463
HumanEval/83,0.30434782608695654,0.7,0.42424242424242425
HumanEval/84,0.21052631578947367,0.3076923076923077,0.25
HumanEval/85,0.47058823529411764,0.4,0.4324324324324324
HumanEval/86,0.4,0.35294117647058826,0.37500000000000006
HumanEval/87,0.22857142857142856,0.6153846153846154,0.3333333333333333
HumanEval/88,0.34615384615384615,0.6923076923076923,0.46153846153846156
HumanEval/89,0.1282051282051282,0.21739130434782608,0.16129032258064516
HumanEval/90,0.5,0.45454545454545453,0.47619047619047616
HumanEval/91,0.14925373134328357,0.47619047619047616,0.22727272727272727
HumanEval/92,0.5333333333333333,0.6153846153846154,0.5714285714285715
HumanEval/93,0.18840579710144928,0.22033898305084745,0.20312499999999997
HumanEval/94,0.19480519480519481,0.32608695652173914,0.2439024390243902
HumanEval/95,0.38461538461538464,0.25,0.30303030303030304
HumanEval/96,0.1791044776119403,0.4,0.24742268041237114
HumanEval/97,0.6,0.3333333333333333,0.42857142857142855
HumanEval/98,0.2413793103448276,0.3684210526315789,0.2916666666666667
HumanEval/99,0.11627906976744186,0.3448275862068966,0.17391304347826086
HumanEval/100,0.21212121212121213,0.5,0.2978723404255319
HumanEval/101,0.16666666666666666,0.4166666666666667,0.23809523809523808
HumanEval/102,0.3333333333333333,0.36,0.34615384615384615
HumanEval/103,0.2222222222222222,0.7692307692307693,0.3448275862068966
HumanEval/104,0.34782608695652173,0.34782608695652173,0.34782608695652173
HumanEval/105,0.3673469387755102,0.2535211267605634,0.3
HumanEval/106,0.6333333333333333,0.41304347826086957,0.5
HumanEval/107,0.4117647058823529,0.6,0.4883720930232558
HumanEval/108,0.25806451612903225,0.18604651162790697,0.2162162162162162
HumanEval/109,0.3333333333333333,0.35714285714285715,0.3448275862068965
HumanEval/110,0.16883116883116883,0.41935483870967744,0.24074074074074076
HumanEval/111,0.41818181818181815,0.5227272727272727,0.4646464646464646
HumanEval/112,0.13559322033898305,0.5333333333333333,0.21621621621621623
HumanEval/113,0.2558139534883721,0.275,0.26506024096385544
HumanEval/114,0.25,0.3125,0.2777777777777778
HumanEval/115,0.07766990291262135,0.5714285714285714,0.13675213675213674
HumanEval/116,0.16666666666666666,0.2,0.1818181818181818
HumanEval/117,0.20833333333333334,0.1724137931034483,0.18867924528301888
HumanEval/118,0.5897435897435898,0.5476190476190477,0.5679012345679013
HumanEval/119,0.5,0.3695652173913043,0.425
HumanEval/120,0.15384615384615385,0.6666666666666666,0.25
HumanEval/121,0.65,0.6842105263157895,0.6666666666666667
HumanEval/122,0.3076923076923077,0.14285714285714285,0.1951219512195122
HumanEval/123,0.24489795918367346,0.4,0.30379746835443044
HumanEval/124,0.35714285714285715,0.3333333333333333,0.3448275862068965
HumanEval/125,0.3,0.20930232558139536,0.24657534246575347
HumanEval/126,0.06976744186046512,0.3333333333333333,0.11538461538461539
HumanEval/127,0.21649484536082475,0.42,0.2857142857142857
HumanEval/128,0.2682926829268293,0.39285714285714285,0.31884057971014496
HumanEval/129,0.0,0.0,0.0
HumanEval/130,0.43636363636363634,0.5581395348837209,0.48979591836734687
HumanEval/131,0.36666666666666664,0.3793103448275862,0.3728813559322034
HumanEval/132,0.1111111111111111,0.20833333333333334,0.14492753623188406
HumanEval/133,0.3333333333333333,0.4166666666666667,0.3703703703703704
HumanEval/134,0.10909090909090909,0.6,0.1846153846153846
HumanEval/135,0.8888888888888888,0.8,0.8421052631578948
HumanEval/136,0.11290322580645161,0.4827586206896552,0.18300653594771243
HumanEval/137,0.3333333333333333,0.5714285714285714,0.4210526315789474
HumanEval/138,0.06097560975609756,0.7142857142857143,0.11235955056179776
HumanEval/139,0.375,0.5294117647058824,0.4390243902439025
HumanEval/140,0.75,0.17647058823529413,0.2857142857142857
HumanEval/141,0.25806451612903225,0.43636363636363634,0.32432432432432434
HumanEval/142,0.7142857142857143,0.7407407407407407,0.7272727272727273
HumanEval/143,0.20270270270270271,0.42857142857142855,0.27522935779816515
HumanEval/144,0.15789473684210525,0.5,0.23999999999999996
HumanEval/145,0.14,0.14893617021276595,0.1443298969072165
HumanEval/146,0.6521739130434783,0.4838709677419355,0.5555555555555556
HumanEval/147,0.10526315789473684,0.15384615384615385,0.125
HumanEval/148,0.7045454545454546,0.7380952380952381,0.7209302325581395
