Task Id,CodeBERTScore Precision,CodeBERTScore Recall,CodeBERTScore F1-score,CodeBERTScore F3-score
HumanEval/0,0.9062455892562866,0.8882066011428833,0.8971354365348816,0.8899782299995422
HumanEval/1,0.8327001333236694,0.8678960800170898,0.849933922290802,0.8642431497573853
HumanEval/2,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896
HumanEval/3,0.9810075759887695,0.9810075759887695,0.9810075759887695,0.9810075163841248
HumanEval/4,0.7530625462532043,0.9040881991386414,0.8216934204101562,0.8863133192062378
HumanEval/5,0.9281537532806396,0.9491902589797974,0.9385541677474976,0.947043776512146
HumanEval/6,0.8530229330062866,0.8327206969261169,0.8427495360374451,0.8347073793411255
HumanEval/7,0.7945237159729004,0.8136925101280212,0.8039938807487488,0.811734139919281
HumanEval/8,0.7622413635253906,0.8495104312896729,0.8035132884979248,0.8398944735527039
HumanEval/9,0.6908846497535706,0.7275170683860779,0.7087277770042419,0.7236799597740173
HumanEval/10,0.9282119870185852,0.9440115690231323,0.9360451102256775,0.9424074292182922
HumanEval/11,0.7096893191337585,0.8252537250518799,0.7631211280822754,0.8120307922363281
HumanEval/12,0.8737826943397522,0.8941295742988586,0.8838390707969666,0.8920523524284363
HumanEval/13,0.8673920631408691,0.7573757767677307,0.8086591958999634,0.7671054005622864
HumanEval/14,0.8205013275146484,0.9036528468132019,0.8600719571113586,0.8945868611335754
HumanEval/15,0.7095606327056885,0.7778496146202087,0.7421374320983887,0.7704349160194397
HumanEval/16,0.7813970446586609,0.8772341012954712,0.826546847820282,0.8666054010391235
HumanEval/17,0.8222057223320007,0.8312377333641052,0.826697051525116,0.8303256630897522
HumanEval/18,0.8140167593955994,0.8405879735946655,0.8270890116691589,0.8378530740737915
HumanEval/19,0.7933818101882935,0.8667621612548828,0.8284502625465393,0.8588188886642456
HumanEval/20,0.7879835367202759,0.8675731420516968,0.8258652091026306,0.858897864818573
HumanEval/21,0.7226520776748657,0.7739490866661072,0.7474214434623718,0.7684939503669739
HumanEval/22,0.6757968068122864,0.7570238709449768,0.7141079306602478,0.7480328679084778
HumanEval/23,0.695682942867279,0.789377748966217,0.7395746111869812,0.7788876891136169
HumanEval/24,0.7865899801254272,0.9169137477874756,0.8467667698860168,0.9019697904586792
HumanEval/25,0.8737584948539734,0.8439105153083801,0.8585752248764038,0.8468032479286194
HumanEval/26,0.8863463401794434,0.8575771450996399,0.8717244863510132,0.8603698015213013
HumanEval/27,0.6573658585548401,0.688372790813446,0.6725121140480042,0.6851410865783691
HumanEval/28,0.7557500600814819,0.7999464869499207,0.7772204875946045,0.7952955961227417
HumanEval/29,0.7913163304328918,0.8213576674461365,0.8060571551322937,0.8182512521743774
HumanEval/30,0.7173828482627869,0.7706685066223145,0.7430716156959534,0.7649863362312317
HumanEval/31,0.8828104138374329,0.8244441151618958,0.852629542350769,0.8299310803413391
HumanEval/32,0.7214571237564087,0.7249966263771057,0.723222553730011,0.7246411442756653
HumanEval/33,0.7609990239143372,0.841143786907196,0.7990668416023254,0.832377552986145
