Task Id,BLEU Score
HumanEval/0,2.081926830342172
HumanEval/1,1.189580301295511
HumanEval/2,5.0
HumanEval/3,3.4126448144872032
HumanEval/4,1.5609369616807878
HumanEval/5,1.4320925956363226
HumanEval/6,1.3522737015743662
HumanEval/7,1.1337146448625093
HumanEval/8,1.8489453376621614
HumanEval/9,1.0457334444631499
HumanEval/10,2.0236142430987707
HumanEval/11,1.1241151386821877
HumanEval/12,1.9391153370500098
HumanEval/13,1.0888645256732388
HumanEval/14,1.349486714068635
HumanEval/15,1.0675641319052973
HumanEval/16,1.0844213625274906
HumanEval/17,1.2240763127198022
HumanEval/18,1.5446634192746993
HumanEval/19,2.61506819267965
HumanEval/20,1.5691192360211523
HumanEval/21,1.0227914366052546
HumanEval/22,1.0290634310238818
HumanEval/23,1.068132744150557
HumanEval/24,2.038421752231196
HumanEval/25,1.894121501480678
HumanEval/26,1.2207113955926596
HumanEval/27,1.0241296069048058
HumanEval/28,1.068132744150557
HumanEval/29,1.068132744150557
HumanEval/30,1.0679447899625052
HumanEval/31,1.8275059818689676
HumanEval/32,1.0899166124740522
HumanEval/33,1.7576083560170268
HumanEval/34,1.5981395124884883
HumanEval/35,1.0290634310238818
HumanEval/36,3.0632063072968987
HumanEval/37,1.1034532772243413
HumanEval/38,4.480959055079165
HumanEval/39,1.443801746849816
HumanEval/40,2.2921776362650634
HumanEval/41,1.0449277604332523
HumanEval/42,5.0
HumanEval/43,1.1202704397365155
HumanEval/44,2.425221937994758
HumanEval/45,1.4106760384321364
HumanEval/46,4.820476191723456
HumanEval/47,1.2553950118203117
HumanEval/48,1.1321265727205523
HumanEval/49,2.4226148428267136
HumanEval/50,1.0
HumanEval/51,1.0901496508906994
HumanEval/52,1.0896677340076892
HumanEval/53,5.0
HumanEval/54,1.3821771168817467
HumanEval/55,2.5775987583721216
HumanEval/56,1.3231298366577775
HumanEval/57,2.7051262238996188
HumanEval/58,1.1321265727205523
HumanEval/59,1.2248428666173234
HumanEval/60,1.069583189502569
HumanEval/61,1.674225282998677
HumanEval/62,1.5951856468498196
HumanEval/63,4.222854810375208
HumanEval/64,1.1420740531394706
HumanEval/65,1.9560626192807056
HumanEval/66,1.061107120894988
HumanEval/67,1.1398246510113736
HumanEval/68,1.3200392653754538
HumanEval/69,1.1357941769140911
HumanEval/70,1.0635608289813903
HumanEval/71,1.4012476688704023
HumanEval/72,1.0359482024943258
HumanEval/73,2.154380923339695
HumanEval/74,1.018080328820939
HumanEval/75,1.6649349565347407
HumanEval/76,2.3723198027410666
HumanEval/77,1.0229291750553409
HumanEval/78,1.0376419598318065
HumanEval/79,1.1452362660509885
HumanEval/80,2.9923888838839696
HumanEval/81,1.0726645862722408
HumanEval/82,1.0895174103710006
HumanEval/83,1.7282821124436853
HumanEval/84,1.0268708109559768
HumanEval/85,2.395513519189474
HumanEval/86,1.1376053877333516
HumanEval/87,1.6013600157956676
HumanEval/88,1.2242667364478168
HumanEval/89,1.088270854408293
HumanEval/90,1.1195323911221635
HumanEval/91,1.027691397104161
HumanEval/92,1.1018853606822847
HumanEval/93,1.042560456574211
HumanEval/94,1.0402812760682147
HumanEval/95,1.4367105495309531
HumanEval/96,1.4325764032192623
HumanEval/97,1.0679447899625052
HumanEval/98,2.4183873811756014
HumanEval/99,1.1273319915103415
HumanEval/100,1.745105586267873
HumanEval/101,1.0364370025726097
HumanEval/102,1.586074405469656
HumanEval/103,1.6288703038879404
HumanEval/104,1.3909196865721491
HumanEval/105,1.0466425954049043
HumanEval/106,1.6924199911420348
HumanEval/107,2.6778347121535617
HumanEval/108,1.0311613836329059
HumanEval/109,2.0222850204712994
HumanEval/110,1.1499502823136651
HumanEval/111,1.0666853413151958
HumanEval/112,1.1024297792222968
HumanEval/113,1.4216111897109172
HumanEval/114,1.0945079947951373
HumanEval/115,1.3558785149067876
HumanEval/116,1.051762997655574
HumanEval/117,1.4484675830909612
HumanEval/118,1.4450075004372118
HumanEval/119,1.169117190086812
HumanEval/120,1.4544877465869999
HumanEval/121,1.1950929777722636
HumanEval/122,1.038249626297768
HumanEval/123,1.2560162924270044
HumanEval/124,1.4260715786014584
HumanEval/125,1.2882376062607346
HumanEval/126,1.0417202414424342
HumanEval/127,1.0485732286575757
HumanEval/128,1.0865152806438525
HumanEval/129,1.0308811399008557
HumanEval/130,1.4456517788325987
HumanEval/131,1.2345321058467542
HumanEval/132,1.0407629531959888
HumanEval/133,1.068132744150557
HumanEval/134,1.2338445000207312
HumanEval/135,1.2769008550769823
HumanEval/136,1.012516795417653
HumanEval/137,1.0442217875291446
HumanEval/138,1.0917390054758855
HumanEval/139,1.3545355531645153
HumanEval/140,1.1035881954628752
HumanEval/141,1.1409502190827114
HumanEval/142,3.8527969699924536
HumanEval/143,1.0693813344493266
HumanEval/144,1.080214334614051
HumanEval/145,1.0720731981267115
HumanEval/146,1.9400931010020237
HumanEval/147,1.4395832726221132
HumanEval/148,1.4229383715733785
HumanEval/149,1.2790837586394088
HumanEval/150,1.1026606159950463
HumanEval/151,1.3853096285153932
HumanEval/152,1.383138576344793
HumanEval/153,1.408487131442541
HumanEval/154,1.5070242551252802
HumanEval/155,1.1469932896692712
HumanEval/156,1.0288787792040854
HumanEval/157,1.0156962178297597
HumanEval/158,1.6562119425994761
HumanEval/159,1.271965372300357
HumanEval/160,1.2171420860709852
HumanEval/161,1.128721011713882
HumanEval/162,1.431739953983999
HumanEval/163,1.138380660027671
